,grapheme,phoneme,count,relative_freq,relative_freq_log,softmax
139,y,aɪ,1476,0.12933753943217666,0.12163121252341977,0.1450008252039247
140,y,j,1144,0.5077674212161563,0.4106300277283395,0.48139642676660144
141,ah,ə,148,0.0016821240225495544,0.0016807108364834432,0.0018764276540431685
142,ah,ɑ,242,0.010417115061770909,0.010363230807922407,0.012675896716482688
143,ah,æ,32,0.0015698587127158557,0.001568627772626434,0.0022461231924888886
144,ee,i,1836,0.05734453571540119,0.05576060998726994,0.061030395111355794
145,ee,ɪ,167,0.003511132603073818,0.0035049829675821947,0.004422295561817891
146,ee,eɪ,12,0.0009372071227741331,0.0009367682183868799,0.0011000931061908013
147,z,z,3794,0.14541412747690774,0.13576625500047976,0.1750499070146015
148,z,s,757,0.01605037740649648,0.015922931988553407,0.02003459093739453
149,z,j,1,0.0004438526409232135,0.00044375416747713154,0.0005202290533112324
150,z,ʒ,16,0.032,0.031498667059371016,0.034953112487552354
151,be,b,174,0.009012275340550059,0.008971907145387464,0.012617753197057803
152,le,l,815,0.018240007161720605,0.018075653760661087,0.02359901423519667
153,f,f,10142,0.7675773859078181,0.5696099005219916,0.7188846421864274
154,f,v,5,0.00047312641937925814,0.0004730145303653722,0.0006267928438746174
155,rr,r,2070,0.028781179611245516,0.02837478079894124,0.03948589776199691
156,x,k,614,0.016245105302148375,0.016114565437433972,0.018559661762583956
157,x,z,50,0.0019163696293741136,0.0019145357356675206,0.0024685022246768674
158,x,h,1,0.00011621150493898897,0.00011620475290506539,0.0001652798352391602
159,x,ʃ,5,0.0005885122410546139,0.0005883391356388893,0.0006605673242053364
160,ce,s,1080,0.022898821134763804,0.022640578006569607,0.02848688415386508
161,ce,ʃ,1,0.00011770244821092278,0.0001176955218211939,0.00013214455950809917
162,de,d,961,0.02971001051134607,0.029277219407951294,0.03882664181455314
163,idj,ɪ,2,4.204949225238105e-05,4.2048608197277244e-05,5.3053431395049384e-05
164,ne,n,1989,0.03424763675809701,0.03367424137547962,0.045286516814783025
165,ae,eɪ,85,0.006638550452983442,0.006616612315025776,0.007770214073478393
166,ae,ɛ,131,0.005086193508308743,0.005073302518342969,0.0067473546239935804
167,ae,ə,24,0.00027277686852154935,0.00027273967167570136,0.00030449988848630944
168,ae,i,46,0.0014367367336102696,0.001435705614902074,0.001571390287177086
169,ae,aɪ,16,0.0014020329477742728,0.0014010510172729924,0.0016702419505870288
170,qu,k,31,0.000820192612974918,0.0008198564388195708,0.0009442549510532023
171,bj,b,47,0.0024343502356658207,0.0024313920050711407,0.003419418385427602
172,kh,k,128,0.0033866017567996615,0.0033808801353331606,0.003893868067075491
173,ze,z,342,0.013107968264918937,0.013022802276964533,0.016790920009129857
174,oo,u,1237,0.17427444350521273,0.16065046197845267,0.18495650060385746
175,oo,ʊ,897,0.4778902503995738,0.39061556428826816,0.46392408838821103
176,oo,ɔ,41,0.003379213714662491,0.003373517001996671,0.004083007051623747
177,oo,ə,55,0.0006251136570285507,0.0006249183548729094,0.000697689368776936
178,oo,oʊ,6,0.00032462262619704593,0.00032456994767243475,0.0004265216824016171
179,oa,ɔ,173,0.01425863347894173,0.014157935248562499,0.017135514485950156
180,oa,oʊ,460,0.024887734675106854,0.0245830794455984,0.03230495145635363
181,oa,ə,3,3.409710856519367e-05,3.4096527272085904e-05,3.8067028123674105e-05
182,ve,v,1413,0.13370552611657835,0.12549149443773774,0.1662891214355465
183,p,p,17249,0.9181348805024752,0.6513532975040316,0.8907149918774172
184,w,w,6045,0.7121819038642789,0.5377685243323513,0.6650431768705443
185,w,v,94,0.008894776684330053,0.008855451180545175,0.011734382503977903
186,w,u,13,0.0018315018315018315,0.0018298266770761572,0.0021066751675384784
187,ss,z,159,0.006094055421409682,0.006075561761894973,0.007833511511954315
188,ss,s,3513,0.07448477652446782,0.07184126903772359,0.09039229952302649
